F1-Macro,F1-Macro_std,F1-Micro,F1-Micro_std,F1-Weighted,F1-Weighted_std,Dataset,method
0.8627133603803259,0.017998395209041156,0.971134162022729,0.001270395977807675,0.9680619184788386,0.0014676386335777288,DBp_2016-04,Ridle
0.8460625151430076,0.10232105553681438,0.9861428954555034,0.0026995269264752787,0.9825737681236866,0.0036426254571661847,Songs_DBpedia,Ridle
0.7788739062918382,0.02928299072229973,0.9602032318564172,0.0015418329654414387,0.9568412749007272,0.001586002257793534,Person_DBpedia,Ridle
0.7329032433594468,0.19325515534590268,0.9977898965435579,0.0016602786091595907,0.9970078861650192,0.002094843092778131,Universities_DBpedia,Ridle
0.7498348047149955,0.07707217087193811,0.9918508025966715,0.0015613113683188636,0.9897915406960018,0.0019661166561732815,Company_DBpedia,Ridle
0.8998540737618234,0.10014594991213421,0.9994531090298825,0.0006047221422673601,0.9992708122195074,0.0008062959457396742,ChemicalCompounds_DBpedia,Ridle
0.8645925963225487,0.10545151579321964,0.9989709748811817,0.0006720098498953775,0.9986433068239207,0.0009393634484948127,Books_DBpedia,Ridle
0.665934236444553,0.03413208506094704,0.6105761188752411,0.08286308881804516,0.48876572404237084,0.07434029752459763,umls,Ridle
0.7937605749944254,0.029502711587504275,0.9949368102506151,0.00046267217610790947,0.993357497860187,0.0006167667698844759,dblp,Ridle
0.47369178594051764,0.010328803827475544,0.5976258721151335,0.006978434548594097,0.47037687554254654,0.00793229367978005,YAGO3-10,Ridle
0.6005179000484626,0.022532257155659395,0.7620399273287445,0.007637950257186468,0.6924121233371856,0.010020191248987415,FB15K237,Ridle
0.889211878251172,0.10208514161468865,0.9909572923176505,0.0020006654563130047,0.9909003406333303,0.0018283982988989943,FB-L1,Ridle
0.5561054414597115,0.07165677284718482,0.906508361647882,0.016394515893405053,0.8741221987738139,0.02090752747875114,FB-L2-org,Ridle
0.5599897351035816,0.029958013789665783,0.7450808453658744,0.015706665089997105,0.726371998447565,0.017792025895456743,FB-L2-person,Ridle
0.2547890538243761,0.04007884827319801,0.6020856542723322,0.03622622875681793,0.49364174344758693,0.04439436226438869,FB-L3-person-writer,Ridle
0.6450118873318635,0.002749651514307877,0.994309517085569,0.000674383164996319,0.9928974784105493,0.000823016135480796,YAGO-L1,Ridle
0.6146720891293497,0.12725226666153855,0.8484547113677842,0.024431824818106084,0.7892275690658117,0.03350416269590945,YAGO-L2-org,Ridle
0.2,0.1,0.0,0.0,0.0,0.0,YAGO-L2-body_of_water,Ridle
0.8005982478149903,0.008024311588033413,0.7862802844173571,0.009605917758608681,0.7849092251043743,0.009793025017050545,YAGO-L2-person,Ridle
0.2725342599078236,0.022285250860502672,0.4619936931627714,0.033665415577025785,0.40074231088987683,0.03318291223223344,YAGO-L3-person-writer,Ridle
0.14348833794135082,0.02882279042634468,0.3554786953049783,0.06736570248381256,0.2657061174794638,0.05072292731927245,YAGO-L3-person-artist,Ridle
0.4366895180413831,0.08527429617847228,0.9472319502339793,0.008158005040676751,0.9270748769310563,0.011430855781127104,YAGO-L3-person-player,Ridle
0.05035069407162547,0.031278888706114824,0.09942168790341312,0.03362473993638426,0.08035076342424419,0.025314088590390617,YAGO-L3-person-scientist,Ridle
