F1-Macro,F1-Macro_std,F1-Micro,F1-Micro_std,F1-Weighted,F1-Weighted_std,Dataset,method
0.8705013133737101,0.0977763835019488,0.9991351205769934,0.0006178003298972235,0.9987626652940065,0.000904536669873263,Books_DBpedia,Ridle
0.8998540737618234,0.10014594991213421,0.9994531090298825,0.0006047221422673601,0.9992708122195074,0.0008062959457396742,ChemicalCompounds_DBpedia,Ridle
0.7481409948520852,0.07240228890670478,0.9922442959553368,0.0011932182290204825,0.9897895856326692,0.0017420316382711263,Company_DBpedia,Ridle
0.8069226302914061,0.03661042150308937,0.9951318293531466,0.00043333955545950514,0.9935754628398363,0.0006098394987741097,dblp,Ridle
0.794658084779589,0.01747265088039498,0.9730640477693168,0.0012993756832080045,0.9681208747660696,0.0017220406810510046,DBp_2016-04,Ridle
0.7095609955539391,0.025535662973726378,0.9594457317844372,0.0012309875941597316,0.9544071367482996,0.0011800607710815607,Person_DBpedia,Ridle
0.8437184528350128,0.10875006430228788,0.9864804043326568,0.0026953373468540623,0.9826485525032321,0.003947737956606771,Songs_DBpedia,Ridle
0.81690083603923,0.04157686008032392,0.8444005395786126,0.05120027503298321,0.8148913327293208,0.05754061947643346,umls,Ridle
0.7579207299325416,0.16462754196389426,0.9978943048906022,0.0014169590420560773,0.9970601990422157,0.0019903910440507073,Universities_DBpedia,Ridle
0.5970431735844475,0.026903906581257592,0.7566921209271175,0.00856254609047815,0.6966169428592511,0.01082157084603014,FB15K237,Ridle
0.4717431839518612,0.010203116258385889,0.5940426894902828,0.002511361281787588,0.4722450939513643,0.002989691105469348,YAGO3-10,Ridle
0.9922753928298356,0.0029889578623840496,0.9925122899205435,0.0027801073781334785,0.9925238698968591,0.0027654550424457505,FB-L1,Ridle
0.87705744775227,0.05036986339601907,0.8952791403859119,0.03884016764597483,0.8965036747647936,0.037111115436619775,FB-L2-org,Ridle
0.6431422591917537,0.04263278356578703,0.7510203086318799,0.017988942399263658,0.7445968944696574,0.019090659346581204,FB-L2-person,Ridle
0.7927304972252138,0.06829608660704635,0.8040716350004276,0.0664256816223098,0.8065793882162169,0.06741129346020136,FB-L3-person-artist,Ridle
0.6452933546626081,0.002917457395913134,0.9943801186105621,0.0007249645666757262,0.992967855671177,0.0008688859572975243,YAGO-L1,Ridle
0.9900905856506983,0.007337512262961296,0.9908045977011495,0.006896551724137922,0.9908009592001843,0.006877718315612382,YAGO-L2-org,Ridle
0.0,0.0,0.0,0.0,0.0,0.0,YAGO-L2-body_of_water,Ridle
0.7874626995070979,0.009439692636875496,0.7736585659777612,0.009575511595717881,0.7726201552745873,0.009593138626968666,YAGO-L2-person,Ridle
0.30296763888453854,0.013340005302169151,0.4574661793206188,0.021142721405091165,0.426134066721756,0.022356508866352678,YAGO-L3-person-writer,Ridle
0.19322162389048472,0.05633262029186049,0.35459283432435384,0.09499914470436395,0.3070440682016173,0.08600843859008454,YAGO-L3-person-artist,Ridle
0.3634582890044401,0.06800041296333076,0.9433841467218326,0.0029037583785265796,0.9053949229629286,0.004365485710648897,YAGO-L3-person-player,Ridle
0.15312767900932248,0.03698560069046633,0.2373975502947212,0.02246627245826101,0.21312650624188686,0.02558495620138048,YAGO-L3-person-scientist,Ridle
,,,,0.974,,YAGO-L1,RDF2Vec
,,,,0.986,,YAGO-L1,TransE
,,,,0.699,,YAGO-L2-org,RDF2Vec
,,,,0.708,,YAGO-L2-org,TransE
,,,,0.574,,YAGO-L2-body_of_water,RDF2Vec
,,,,0.525,,YAGO-L2-body_of_water,TransE
,,,,0.706,,YAGO-L2-person,RDF2Vec
,,,,0.631,,YAGO-L2-person,TransE
,,,,0.451,,YAGO-L3-person-writer,RDF2Vec
,,,,0.407,,YAGO-L3-person-writer,TransE
,,,,0.089,,YAGO-L3-person-scientist,RDF2Vec
,,,,0.13,,YAGO-L3-person-scientist,TransE
,,,,0.853,,YAGO-L3-person-player,RDF2Vec
,,,,0.881,,YAGO-L3-person-player,TransE
,,,,0.41,,YAGO-L3-person-artist,RDF2Vec
,,,,0.329,,YAGO-L3-person-artist,TransE
,,,,0.981,,FB-L1,RDF2Vec
,,,,0.978,,FB-L1,TransE
,,,,0.887,,FB-L2-org,RDF2Vec
,,,,0.826,,FB-L2-org,TransE
,,,,0.725,,FB-L2-person,RDF2Vec
,,,,0.73,,FB-L2-person,TransE
,,,,0.924,,FB-L3-person-artist,RDF2Vec
,,,,0.939,,FB-L3-person-artist,TransE
