F1-Macro,F1-Macro_std,F1-Micro,F1-Micro_std,F1-Weighted,F1-Weighted_std,Dataset,method
0.8704907856874922,0.09778145449833404,0.9990755347976101,0.0006527772813671951,0.9987031241124009,0.00093824861690608,Books_DBpedia,Ridle
0.8198054710886764,0.18882908369760196,0.9992102062923868,0.0007463700782830237,0.9989065504042516,0.0010447989876661242,ChemicalCompounds_DBpedia,Ridle
0.7555955088596487,0.07126454462451975,0.9919358432981458,0.0012923898671231568,0.9898816596776859,0.0016661671799044697,Company_DBpedia,Ridle
0.7855791813594466,0.06357682399972378,0.9950739367796606,0.0004576464244960541,0.993531610898383,0.0006273166905055302,dblp,Ridle
0.8613735208657,0.01923324661319589,0.9750055737632233,0.00135246883165789,0.9726508830121018,0.001698666628935961,DBp_2016-04,Ridle
0.7680410945609666,0.027581444445198652,0.9581078863711475,0.0018969311207505557,0.9552074984343969,0.0021751504027582953,Person_DBpedia,Ridle
0.8458726006890751,0.10348008453630085,0.9852138138330598,0.003147038304467015,0.9819547823854025,0.003705389793634337,Songs_DBpedia,Ridle
0.7986058889959146,0.046096988466485654,0.8110466654876124,0.07282030011029145,0.7790030916317001,0.08048951826424372,umls,Ridle
0.7579265533490346,0.16463315198889572,0.9979291238321064,0.0014465748454480128,0.9970776206280473,0.002006083427811256,Universities_DBpedia,Ridle
0.4766919884573996,0.0100079964375567,0.5966225020212004,0.017846446044471657,0.4978159730797743,0.021662457808179898,YAGO3-10,Ridle
0.6086056034131591,0.022052578332767296,0.7539682749630013,0.008803785046435633,0.6988994371443714,0.011140749978621257,FB15K237,Ridle
0.9063355908014892,0.09416265448677612,0.9905411829252826,0.002515806286064986,0.9904535915861518,0.0024124949708276087,FB-L1,Ridle
0.6491381802063232,0.07945371189089104,0.9015304978398113,0.0112015253354076,0.8854709498345585,0.01968905483731948,FB-L2-org,Ridle
0.5334138207279133,0.03878892891985757,0.7184848740614305,0.015066131515438891,0.7026778107822992,0.01692950237781463,FB-L2-person,Ridle
0.33133474446643923,0.03654469097442458,0.5772158015452665,0.027223175768612495,0.5338702393581553,0.03197349445275685,FB-L3-person-writer,Ridle
0.6448942940100479,0.0026557745332391886,0.9942812764755719,0.0006322680931160301,0.9928693743420606,0.0007817652668799058,YAGO-L1,Ridle
0.6216564635424456,0.1335904074049489,0.8277979452714902,0.09569945265661939,0.7692010342123634,0.1148167290887609,YAGO-L2-org,Ridle
0.30214589783281737,0.11965670740040725,0.26468218882011985,0.13046503342065222,0.128189538073439,0.08498633804393596,YAGO-L2-body_of_water,Ridle
0.7832854909427276,0.01262704628369666,0.7660824643871641,0.01248662334703165,0.76561252614282,0.01174169550896865,YAGO-L2-person,Ridle
0.31508254814955816,0.020960878586530212,0.44865086477615507,0.02760644929992481,0.4272167717569448,0.029298181127480814,YAGO-L3-person-writer,Ridle
0.2269509390676942,0.05277415947781382,0.36332924130652217,0.07969877014005358,0.322727495724735,0.06595748748805576,YAGO-L3-person-artist,Ridle
0.5966585770901391,0.0918829073363747,0.9538062291297894,0.006193518238974148,0.9407029048741921,0.01002087846774165,YAGO-L3-person-player,Ridle
0.15283194918080897,0.03055002243519771,0.2583930835586994,0.03179296691536289,0.2323362996470503,0.025892099281977624,YAGO-L3-person-scientist,Ridle
